text,video,Frame_hate,random_frame,random_ocr_text,combined_text
" And bitch, I am not George Zimmerman.",hate_video_3,1,hate_video_3_frame2160.jpg,TRO," And bitch, I am not George Zimmerman. [SEP] TRO"
 I'm gonna kill that nigger dead.,hate_video_3,1,hate_video_3_frame2220.jpg,TRO, I'm gonna kill that nigger dead. [SEP] TRO
 Record that shit and put it on Worldstar as well.,hate_video_3,1,hate_video_3_frame2340.jpg,TRO, Record that shit and put it on Worldstar as well. [SEP] TRO
 They can burn in hell.,hate_video_3,1,hate_video_3_frame2430.jpg,ARO, They can burn in hell. [SEP] ARO
 He fat as fucking hell.,hate_video_3,1,hate_video_3_frame2520.jpg,TRO, He fat as fucking hell. [SEP] TRO
 Fuck all those niggers. i'll choke em out fuck all those niggas i'll shoot it out if a niggas gets mad then we can shoot it out bitch i don't fight with niggas they'll be down,hate_video_3,1,hate_video_3_frame2760.jpg,ARO, Fuck all those niggers. i'll choke em out fuck all those niggas i'll shoot it out if a niggas gets mad then we can shoot it out bitch i don't fight with niggas they'll be down [SEP] ARO
 they like to jump they like to rob they like to take a nigga car and rap at the same time,hate_video_3,1,hate_video_3_frame2940.jpg,ARO, they like to jump they like to rob they like to take a nigga car and rap at the same time [SEP] ARO
 stupid ass niggas all they can do is rhyme They can never get a motherfucking 9 to 5,hate_video_3,1,hate_video_3_frame3060.jpg,TRO, stupid ass niggas all they can do is rhyme They can never get a motherfucking 9 to 5 [SEP] TRO
 Stupid ass niggers don't know 5 plus 5,hate_video_3,1,hate_video_3_frame3210.jpg,TRO, Stupid ass niggers don't know 5 plus 5 [SEP] TRO
 They just know that if I can do a rhyme I can get time,hate_video_3,1,hate_video_3_frame3300.jpg,ARO, They just know that if I can do a rhyme I can get time [SEP] ARO
" Yeah, fuck all those niggers",hate_video_3,1,hate_video_3_frame3390.jpg,ARAB," Yeah, fuck all those niggers [SEP] ARAB"
 Fuck all those niggers,hate_video_3,1,hate_video_3_frame3450.jpg,ARAB, Fuck all those niggers [SEP] ARAB
 Fuck all those niggers,hate_video_3,1,hate_video_3_frame3480.jpg,TRO, Fuck all those niggers [SEP] TRO
 Fuck all those niggers,hate_video_3,1,hate_video_3_frame3510.jpg,TRO, Fuck all those niggers [SEP] TRO
" Yeah, fuck all those niggers",hate_video_3,1,hate_video_3_frame3540.jpg,TRO," Yeah, fuck all those niggers [SEP] TRO"
" Fuck all those niggers Fuck all those niggers Yeah, fuck all those niggers, yeah Fuck all those niggers Fuck all those niggers",hate_video_3,1,hate_video_3_frame3600.jpg,TRO," Fuck all those niggers Fuck all those niggers Yeah, fuck all those niggers, yeah Fuck all those niggers Fuck all those niggers [SEP] TRO"
" Fuck all those niggers, yeah",hate_video_3,1,hate_video_3_frame3660.jpg,TRO," Fuck all those niggers, yeah [SEP] TRO"
 Fuck all those niggers,hate_video_3,1,hate_video_3_frame3690.jpg,TRO, Fuck all those niggers [SEP] TRO
 Niggers can burn in hell,hate_video_3,1,hate_video_3_frame3720.jpg,ARO, Niggers can burn in hell [SEP] ARO
 Trayvon as well,hate_video_3,1,hate_video_3_frame3780.jpg,ARO, Trayvon as well [SEP] ARO
 Niggers can burn in hell,hate_video_3,1,hate_video_3_frame3840.jpg,TRO, Niggers can burn in hell [SEP] TRO
 Niggers can burn in hell,hate_video_3,1,hate_video_3_frame3870.jpg,TRO, Niggers can burn in hell [SEP] TRO
" Nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger",hate_video_3,1,hate_video_3_frame3960.jpg,TRO," Nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger [SEP] TRO"
 Bobby Two Pistols in this bitch.,hate_video_3,1,hate_video_3_frame4110.jpg,ARO, Bobby Two Pistols in this bitch. [SEP] ARO
 I saw the niggers in this bitch.,hate_video_3,1,hate_video_3_frame4230.jpg,ARO, I saw the niggers in this bitch. [SEP] ARO
 You motherfuckers used to be slaves.,hate_video_3,1,hate_video_3_frame4260.jpg,ARO, You motherfuckers used to be slaves. [SEP] ARO
 Now you think you can ride in my Escalade.,hate_video_3,1,hate_video_3_frame4380.jpg,TRO, Now you think you can ride in my Escalade. [SEP] TRO
" Stupid ass nigger, better clean my car good.",hate_video_3,1,hate_video_3_frame4440.jpg,TRO," Stupid ass nigger, better clean my car good. [SEP] TRO"
 Before I get this whip out and then shoot you in your hood.,hate_video_3,1,hate_video_3_frame4560.jpg,ARO, Before I get this whip out and then shoot you in your hood. [SEP] ARO
 Dumb ass nigger.,hate_video_3,1,hate_video_3_frame4590.jpg,ARO, Dumb ass nigger. [SEP] ARO
" Stupid ass nigger. You calling me a cracker? Dumbass nigger, stupid ass nigger.",hate_video_3,1,hate_video_3_frame4650.jpg,ARO," Stupid ass nigger. You calling me a cracker? Dumbass nigger, stupid ass nigger. [SEP] ARO"
 You calling me a cracker?,hate_video_3,1,hate_video_3_frame4680.jpg,ARO, You calling me a cracker? [SEP] ARO
" Well, it's better to be a nigger.",hate_video_3,1,hate_video_3_frame4710.jpg,ARO," Well, it's better to be a nigger. [SEP] ARO"
 Better than being a nigger.,hate_video_3,1,hate_video_3_frame4830.jpg,TRO, Better than being a nigger. [SEP] TRO
" Bitch, you're so black you look like a damn shade.",hate_video_3,1,hate_video_3_frame4920.jpg,TRO," Bitch, you're so black you look like a damn shade. [SEP] TRO"
" Bitch, clean my car while I drink lemonade.",hate_video_3,1,hate_video_3_frame5070.jpg,ARO," Bitch, clean my car while I drink lemonade. [SEP] ARO"
 Ya fuckin' slave.,hate_video_3,1,hate_video_3_frame5070.jpg,ARO, Ya fuckin' slave. [SEP] ARO
 Melvin on the beat,hate_video_3,1,hate_video_3_frame5100.jpg,ARO, Melvin on the beat [SEP] ARO
" Buy me two pistols man, fuck all those niggers man",hate_video_3,1,hate_video_3_frame5190.jpg,TRO," Buy me two pistols man, fuck all those niggers man [SEP] TRO"
 Real nigger anthem Продолжение следует...,hate_video_3,1,hate_video_3_frame5520.jpg,ARO, Real nigger anthem Продолжение следует... [SEP] ARO
 Fuck Jews. We woos kings. We woos the real Jews and the real Egyptians man. Bang bang.,hate_video_4,1,hate_video_4_frame150.jpg,www. Bandi cam. com, Fuck Jews. We woos kings. We woos the real Jews and the real Egyptians man. Bang bang. [SEP] www. Bandi cam. com
 Hello nigger my old friend,hate_video_5,1,hate_video_5_frame60.jpg,Hello nigger my old friend, Hello nigger my old friend [SEP] Hello nigger my old friend
 You've come to rob my house again,hate_video_5,1,hate_video_5_frame210.jpg,You' ve come to rob my house again, You've come to rob my house again [SEP] You' ve come to rob my house again
 Cause you nigger softly creeping,hate_video_5,1,hate_video_5_frame270.jpg,You' ve come to rob my house again, Cause you nigger softly creeping [SEP] You' ve come to rob my house again
 You rob my house while I'm sleeping,hate_video_5,1,hate_video_5_frame390.jpg,Myth vs reality Cause you niggers softly c ripp in., You rob my house while I'm sleeping [SEP] Myth vs reality Cause you niggers softly c ripp in.
 And your stinky nigger smell in my brain still remains,hate_video_5,1,hate_video_5_frame600.jpg,And your stinky nigger smell in my brain still remains., And your stinky nigger smell in my brain still remains [SEP] And your stinky nigger smell in my brain still remains.
 I is a trans nigger,hate_video_5,1,hate_video_5_frame750.jpg,KentuckyFrie listransnigger., I is a trans nigger [SEP] KentuckyFrie listransnigger.
" No, I haven't.",hate_video_6,1,hate_video_6_frame60.jpg,"Oe eg le [ bit wave. tv]  327 K 1047 G.  P 01 L Talk to strangers!  59,000+ online now PAJ EET 102:021| LI 3 Joey_ Fit. . .  WHIT E IS RIGHT T. ME/ GYPSY CRUSADER 102:021 LI AGONY DUR KAD UR KAI DUR KADU U UR KAA 02:021 LI Dont Ma. . .  JOL KA 02:021 LI Big Bad. . .  LOL 02:021 LI' Not eHig. . .  711 ome g le 02:021 LI Gas Th os. . .  po 0000 in loo ooo ooo o 0 02:021 LI' j are dt a yu. . .  CHIN STRAP 02:021 LI dole ma. . .  He' s right next to the road 02:021 LI niggers. . .  P 0 O ON WALLS HYPE BTW Chat as Gypsy crusader. . .  0/300 Stop Send SEND>"," No, I haven't. [SEP] Oe eg le [ bit wave. tv]  327 K 1047 G.  P 01 L Talk to strangers!  59,000+ online now PAJ EET 102:021| LI 3 Joey_ Fit. . .  WHIT E IS RIGHT T. ME/ GYPSY CRUSADER 102:021 LI AGONY DUR KAD UR KAI DUR KADU U UR KAA 02:021 LI Dont Ma. . .  JOL KA 02:021 LI Big Bad. . .  LOL 02:021 LI' Not eHig. . .  711 ome g le 02:021 LI Gas Th os. . .  po 0000 in loo ooo ooo o 0 02:021 LI' j are dt a yu. . .  CHIN STRAP 02:021 LI dole ma. . .  He' s right next to the road 02:021 LI niggers. . .  P 0 O ON WALLS HYPE BTW Chat as Gypsy crusader. . .  0/300 Stop Send SEND>"
 No.,hate_video_6,1,hate_video_6_frame180.jpg,"Ome g le [ bit wave. tv]  om ge le 337 K 1047 G.  POLL:  Talk to strangers!  59,000+ online now FREHOLE ZE)  WASHINGTON HEIGHTS GYPSYCRUSADER NIGGER)  02:02| IL 1 S and J. .  BLOODY FUKIN 02:02| IL 1 NIKI gG. .  INDIAN NIGGER 02:02| L 1 Eyes Wi. .  A DOMINICAN IS JUST A NIGGER TO ome g le L EMBARRASSED TO ADMIT IT 02:02| L 1 sky d 7-11 TECH SUPPORT LMFAO they have. . . poverty 02:02| L 1 Is vc jol kel jol kel!  Chat as Gypsy crusader. . .  0/300 Stop Send SEND"," No. [SEP] Ome g le [ bit wave. tv]  om ge le 337 K 1047 G.  POLL:  Talk to strangers!  59,000+ online now FREHOLE ZE)  WASHINGTON HEIGHTS GYPSYCRUSADER NIGGER)  02:02| IL 1 S and J. .  BLOODY FUKIN 02:02| IL 1 NIKI gG. .  INDIAN NIGGER 02:02| L 1 Eyes Wi. .  A DOMINICAN IS JUST A NIGGER TO ome g le L EMBARRASSED TO ADMIT IT 02:02| L 1 sky d 7-11 TECH SUPPORT LMFAO they have. . . poverty 02:02| L 1 Is vc jol kel jol kel!  Chat as Gypsy crusader. . .  0/300 Stop Send SEND"
" No, I haven't, bro.",hate_video_6,1,hate_video_6_frame420.jpg,"Oe eg le [ bit wave. tv]  omeg le 320 X 1047 G.  POLL Talk to strangers!  59,000+ online now they have. . . poverty [ 02:02] [ 1] Sv c jol kel jol kel T. ME/ GYPSY CRUSADER [ 02:02] [ 1] Radio 10000000000000000 [ 02:02] [ 1] Joey, Fit. . .  wtf [ 02:02] [ 1] Big B row. . .  L MAO [ 02:02] [ 1] ask xy d GET REK O TECH SUPPORT [ 02:02] [ 1] We Was. . .  ome gl LOL [ 02:02] [ 1] ni gers. . .  CURRY POO ON WALLS LOL [ 02:02] [ 1] J are dt a yz. . .  DO YOU HAVE INDOOR PLUMBING?  [ 02:03] [ 1] b daz L MFA OOO OHA HAH A HAH AHA HA HA Chat as Gypsy crusader. .  0/300 Stop Send SEND"," No, I haven't, bro. [SEP] Oe eg le [ bit wave. tv]  omeg le 320 X 1047 G.  POLL Talk to strangers!  59,000+ online now they have. . . poverty [ 02:02] [ 1] Sv c jol kel jol kel T. ME/ GYPSY CRUSADER [ 02:02] [ 1] Radio 10000000000000000 [ 02:02] [ 1] Joey, Fit. . .  wtf [ 02:02] [ 1] Big B row. . .  L MAO [ 02:02] [ 1] ask xy d GET REK O TECH SUPPORT [ 02:02] [ 1] We Was. . .  ome gl LOL [ 02:02] [ 1] ni gers. . .  CURRY POO ON WALLS LOL [ 02:02] [ 1] J are dt a yz. . .  DO YOU HAVE INDOOR PLUMBING?  [ 02:03] [ 1] b daz L MFA OOO OHA HAH A HAH AHA HA HA Chat as Gypsy crusader. .  0/300 Stop Send SEND"
" Nah, bro.",hate_video_6,1,hate_video_6_frame540.jpg,"Omg le [ bit wave. tv]  om ge le 337 K 1047 G.  POLL:  Talk to strangers!  59,000+ online now it era llyn to fad ingn [ 02:00] [ LJ POVERT. . .  GYPSYCRUSADER FLORIDA GAVE US, RIFF RAFF,  BROKE MALONE AND HORSE SANDWICHES 102:03] [ J] Lynch an. . .  WELCOME TO MYST OR 102:03] [ J] Attila Ba. . .  there s a nigger [ 02:03] [ J] Joe_ Bid. . .  Ma' am Do not listen to this child grooming a meg fake Berretta fag got 02:031[ ] . 1 nig gers_ . . .  MOG GER 02:031[ ] . 1 s vc math afa q Chat as Gypsy crusader. . .  0/300 Stop Send SEND>"," Nah, bro. [SEP] Omg le [ bit wave. tv]  om ge le 337 K 1047 G.  POLL:  Talk to strangers!  59,000+ online now it era llyn to fad ingn [ 02:00] [ LJ POVERT. . .  GYPSYCRUSADER FLORIDA GAVE US, RIFF RAFF,  BROKE MALONE AND HORSE SANDWICHES 102:03] [ J] Lynch an. . .  WELCOME TO MYST OR 102:03] [ J] Attila Ba. . .  there s a nigger [ 02:03] [ J] Joe_ Bid. . .  Ma' am Do not listen to this child grooming a meg fake Berretta fag got 02:031[ ] . 1 nig gers_ . . .  MOG GER 02:031[ ] . 1 s vc math afa q Chat as Gypsy crusader. . .  0/300 Stop Send SEND>"
" I'm good, dog.",hate_video_6,1,hate_video_6_frame720.jpg,"Omg le [ bit wave. tv]  337 K G Select Language 1044 G.  POLL Talk to strangers!  59,000+ online now fake Beretta fag got T. ME/ GYPSYCRUSADER 02:031 L 1 niggers_  MOG GER 02:031 L 1 s vc matha faq 02:031 L 1 We Was. .  Fucking tech support is so fucking funny ome g le 02:031 L 1 niggers. . .  NIGGER NIGGER 02:031 L 1 Ham Bur. . .  02:031 L 1 ryps y so. . .  MADAFAKA 02:031 L 1 Dont Ma. . .  MUD DAR FUCK YOU FAH D DER Chat as Gypsy crusader. . .  0/300 Stop Send SEND"," I'm good, dog. [SEP] Omg le [ bit wave. tv]  337 K G Select Language 1044 G.  POLL Talk to strangers!  59,000+ online now fake Beretta fag got T. ME/ GYPSYCRUSADER 02:031 L 1 niggers_  MOG GER 02:031 L 1 s vc matha faq 02:031 L 1 We Was. .  Fucking tech support is so fucking funny ome g le 02:031 L 1 niggers. . .  NIGGER NIGGER 02:031 L 1 Ham Bur. . .  02:031 L 1 ryps y so. . .  MADAFAKA 02:031 L 1 Dont Ma. . .  MUD DAR FUCK YOU FAH D DER Chat as Gypsy crusader. . .  0/300 Stop Send SEND"
 How about a monkey dance? I thought you guys,hate_video_6,1,hate_video_6_frame810.jpg,"Omg le [ bit wave. tv]  337 K ome g le 1044 G.  Poll Talk to strangers!  59,000+ online now T. ME/ GYPSY CRUSADER 02:03111 nig gers. . .  MOG GER 02:03111 s vc math a faq 02:03111 We Was. . .  Fucking tech support is so fucking funny 02:03111 niggers. . .  NIGGER NIGGER 02:0311 L Ham Bur. . .  omEGA.  02:03111 Don tM a. .  MUD DAR FUCK YOU FAH DDER 02:03111 Rams HAH A HAH A HAH A HAH AHA HA Chat as Gypsy crusader. . .  0/300 Stop Send SEND"," How about a monkey dance? I thought you guys [SEP] Omg le [ bit wave. tv]  337 K ome g le 1044 G.  Poll Talk to strangers!  59,000+ online now T. ME/ GYPSY CRUSADER 02:03111 nig gers. . .  MOG GER 02:03111 s vc math a faq 02:03111 We Was. . .  Fucking tech support is so fucking funny 02:03111 niggers. . .  NIGGER NIGGER 02:0311 L Ham Bur. . .  omEGA.  02:03111 Don tM a. .  MUD DAR FUCK YOU FAH DDER 02:03111 Rams HAH A HAH A HAH A HAH AHA HA Chat as Gypsy crusader. . .  0/300 Stop Send SEND"
 danced for,hate_video_6,1,hate_video_6_frame870.jpg,"Oe g le [ bit wave. tv]  om ge le 337 K 1044 G.  POLL Talk to strangers!  59,000+ online now [ 02:031 LI J svc math afa q GYPSYCRUSADER [ 02:031 LI We Was. .  Fucking tech support is so fucking funny [ 02:031 LI. n diggers.  NIGGER NIGGER [ 02:031 LI Ham Bur.  florid a man at it again [ 02:031 LI. r yops y so. . .  MADAFAKA ome gl MUD D ARFUCK YOU FAHDDER [ 02:031 LI Rom HAH A HAH A HAH A HAH A [ 02:031 LI b dz U MUD DAFUK [ 02:031 LI. Io annis. . .  Do a mokey dance nigger Chat as Gypsy crusader. . .  0/300 Stop Send SEND"," danced for [SEP] Oe g le [ bit wave. tv]  om ge le 337 K 1044 G.  POLL Talk to strangers!  59,000+ online now [ 02:031 LI J svc math afa q GYPSYCRUSADER [ 02:031 LI We Was. .  Fucking tech support is so fucking funny [ 02:031 LI. n diggers.  NIGGER NIGGER [ 02:031 LI Ham Bur.  florid a man at it again [ 02:031 LI. r yops y so. . .  MADAFAKA ome gl MUD D ARFUCK YOU FAHDDER [ 02:031 LI Rom HAH A HAH A HAH A HAH A [ 02:031 LI b dz U MUD DAFUK [ 02:031 LI. Io annis. . .  Do a mokey dance nigger Chat as Gypsy crusader. . .  0/300 Stop Send SEND"
 bananas.,hate_video_6,1,hate_video_6_frame900.jpg,"Oe eg le [ bit wave. tv]  om ge le 337 K 1044 G.  POLL Talk to strangers!  59,000+ online now 02:031 LI J svc math afa q GYPSYCRUSADER 02:031 LI We Was. .  Fucking tech support is so fucking funny 02:031 LI. n diggers.  NIGGER NIGGER 02:031 LI Ham Bur.  florid a man at it again 02:031 LI. r yops y so. . .  MADAFAKA ome g MUD DAR FUCK YOU FAHD DER 02:031 LI Rom HAH A HAH A HAH A HAH A HAH A 02:031 LI b daz U MUDDA FUK 02:031 LI. Io ann is. . .  Do a mokey dance nigger Chat as Gypsy crusader. . .  0/300 Stop Send SEND"," bananas. [SEP] Oe eg le [ bit wave. tv]  om ge le 337 K 1044 G.  POLL Talk to strangers!  59,000+ online now 02:031 LI J svc math afa q GYPSYCRUSADER 02:031 LI We Was. .  Fucking tech support is so fucking funny 02:031 LI. n diggers.  NIGGER NIGGER 02:031 LI Ham Bur.  florid a man at it again 02:031 LI. r yops y so. . .  MADAFAKA ome g MUD DAR FUCK YOU FAHD DER 02:031 LI Rom HAH A HAH A HAH A HAH A HAH A 02:031 LI b daz U MUDDA FUK 02:031 LI. Io ann is. . .  Do a mokey dance nigger Chat as Gypsy crusader. . .  0/300 Stop Send SEND"
